param n := 24;
set L := (1,2),(1,3),(1,5),(2,4),(2,6),(3,9),(3,24),(4,9),(5,10),(6,10),(7,8),(8,9),(8,10),(9,11),(9,12),(10,11),(10,12),(11,13),(11,14),(12,13),(12,23),(13,23),(14,16),(15,16),(15,21),(15,24),(16,17),(16,19),(17,18),(17,22),(18,21),(19,20),(20,23),(21,22);

param : D :=
     1   108
     2    97
     3   180
     4    74
     5    71
     6   136
     7   125
     8   171
     9   175
    10   195
    11     0
    12     0
    13   265
    14   194
    15   317
    16   100
    17     0
    18   333
    19   181
    20   128
    21     0
    22     0
    23     0
    24     0
;

param : C	Gm  := 
  1	40      292
  2	40      292
  7	43.7	300
 13	41.5	591
 15	24.7	215
 16	22.4	155
 18	24.4    400
 21	24.4    400
 22	30.1    300
 23	22.1	660
;

param : Fm :=
     1     2   175
     1     3   175
     1     5   175
     2     4   175
     2     6   175
     3     9   175
     3    24   150
     4     9   175
     5    10   175
     6    10   175
     7     8   175
     8     9   175
     8    10   175
     9    11   400
     9    12   400
    10    11   400
    10    12   400
    11    13   200
    11    14   200
    12    13   200
    12    23   200
    13    23   200
    14    16   200
    15    16   200
    15    21   200
    15    24   200
    16    17   200
    16    19   200
    17    18   200
    17    22   200
    18    21   1000
    19    20   1000
    20    23   1000
    21    22   500
;

param : X := 
   1   2   0.007964
   1   3   0.1210
   1   5   0.04841
   2   4   0.07259
   2   6   0.1100
   3   9   0.06818
   3  24   0.04951
   4   9   0.05941
   5  10   0.05059
   6  10   0.03466
   7   8   0.03517
   8   9   0.09459
   8  10   0.09459
   9  11   0.04951
   9  12   0.04951
  10  11   0.04903
  10  12   0.04903
  11  13   0.02727
  11  14   0.02394
  12  13   0.02727
  12  23   0.05534
  13  23   0.04956
  14  16   0.02228
  15  16   0.009912
  15  21   0.01403
  15  24   0.02973
  16  17   0.01483
  16  19   0.01323
  17  18   0.00825
  17  22   0.06033
  18  21   0.0074198
  19  20   0.01134
  20  23   0.0061879
  21  22   0.03884
;
